endTime,artistName,trackName,msPlayed
2023-07-11 13:56,Central Cee,Doja,18831
2023-07-13 10:19,Kanye West,Stronger,311866
2023-07-13 10:23,Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,243880
2023-07-13 10:27,USHER,More - RedOne Jimmy Joker Remix,219986
2023-07-13 10:33,Shakira,Hips Don't Lie (feat. Wyclef Jean) - Live - December 2006,378734
2023-07-13 10:35,Lil Uzi Vert,Just Wanna Rock,123890
2023-07-13 10:40,JAY-Z,No Church In The Wild,272506
2023-07-13 10:43,KAROL G,WATATI (feat. Aldo Ranks) [From Barbie The Album],166882
2023-07-13 10:53,Yng Lvcas,La Bebe - Remix,41160
2023-07-13 11:03,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),661
2023-07-13 11:03,50 Cent,Ayo Technology,23
2023-07-13 11:07,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),215466
2023-07-13 11:20,50 Cent,Ayo Technology,193958
2023-07-13 12:06,Vegedream,Ramenez la coupe à la maison,235555
2023-07-13 12:09,Cheema Y,California Love,175686
2023-07-13 12:12,The Weeknd,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),9755
2023-07-13 12:12,Zak Downtown,Zones,192075
2023-07-13 12:16,Linkin Park,A LIGHT THAT NEVER COMES,229439
2023-07-13 12:19,50 Cent,In Da Club,193466
2023-07-13 12:21,Arjan Dhillon,Setting,160000
2023-07-13 12:34,Piano Fantasia,Song for Denise - Wide Walking Version,83052
2023-07-13 16:59,Cheema Y,California Love,1093
2023-07-13 17:00,Modern Talking,Cheri Cheri Lady,4675
2023-07-13 17:00,Cheema Y,California Love,8324
2023-07-13 17:00,Parmish Verma,Check It Out,4246
2023-07-13 17:01,DIVINE,Chorni,12522
2023-07-13 17:04,Karan Aujla,Take It Easy,210361
2023-07-13 17:04,The PropheC,Dilawara,15900
2023-07-13 17:05,The Weeknd,Starboy,833
2023-07-13 17:05,The Weeknd,Starboy,857
2023-07-13 17:05,Drake,One Dance,3092
2023-07-13 17:05,Coi Leray,Make My Day (with David Guetta),3061
2023-07-13 17:05,Coi Leray,Make My Day (with David Guetta),1655
2023-07-13 17:05,Post Malone,Cooped Up / Return Of The Mack,2167
2023-07-13 17:05,DJ Snake,Let Me Love You,367
2023-07-13 17:05,Rihanna,We Found Love,686
2023-07-13 17:09,Ed Sheeran,Shape of You,526
2023-07-13 17:09,Lady Gaga,Bad Romance,5494
2023-07-13 17:09,Lil Nas X,MONTERO (Call Me By Your Name),1551
2023-07-13 17:09,Joel Corry,OUT OUT (feat. Charli XCX & Saweetie),17230
2023-07-13 17:09,DJ Snake,Let Me Love You,1335
2023-07-13 17:09,Calvin Harris,This Is What You Came For,1234
2023-07-13 17:09,Rema,Calm Down (with Selena Gomez),239317
2023-07-13 17:13,Amaarae,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),1011
